,Unnamed: 0,Unnamed: 0.1,cluster,state,region,source,uor,lat,lng,military,incorporated,timezone,ranking,id,wealth,population,density,% lack in literacy,total employment,salary and wages,No of deaths,agriculture land harvested(acres),death_toll,employment,agriculture_land_bin,ranking_bin
0,0,0,1001,Alabama,Autauga,polygon,U,32.6793,-86.4607,FALSE,FALSE,America/Chicago,3,1840023045,d:richer,1926,32,13.0,18115,479409,1064,8950,high,mid,low,Urban
1,1,1,1003,Alabama,Baldwin,polygon,U,30.2758,-87.7014,FALSE,TRUE,America/Chicago,3,1840013886,e:richest,11809,162,11.0,115166,3020124,4546,56300,high,high,mid,Urban
2,2,2,1005,Alabama,Barbour,polygon,U,31.781,-85.5583,FALSE,TRUE,America/Chicago,3,1840003795,c:middle,468,65,23.0,11828,333733,632,9500,mid,mid,low,Rural
3,3,3,1009,Alabama,Blount,polygon,U,33.8789,-86.8241,FALSE,FALSE,America/Chicago,3,1840013654,c:middle,2383,158,14.0,15551,347138,1401,3050,high,mid,low,Urban
4,4,4,1013,Alabama,Butler,polygon,U,31.5429,-86.7246,FALSE,TRUE,America/Chicago,3,1840017055,c:middle,501,51,21.0,9637,256035,535,267200,mid,mid,high,Rural
5,5,5,1015,Alabama,Calhoun,polygon,U,33.6713,-85.8136,FALSE,TRUE,America/Chicago,3,1840006563,e:richest,75169,184,15.0,59020,1899383,3113,5500,high,high,low,Urban
6,6,6,1017,Alabama,Chambers,polygon,U,32.7876,-85.3057,FALSE,TRUE,America/Chicago,3,1840023011,c:middle,121,17,20.0,12650,346244,870,23400,mid,mid,mid,Urban
7,7,7,1019,Alabama,Cherokee,polygon,U,34.1839,-85.775,FALSE,TRUE,America/Chicago,3,1840016636,b:poor,1021,62,16.0,8538,199422,694,30900,mid,mid,mid,Rural
8,8,8,1023,Alabama,Choctaw,polygon,U,32.1792,-88.3002,FALSE,TRUE,America/Chicago,3,1840017015,b:poor,493,73,23.0,5675,209447,368,40400,mid,mid,mid,Rural
9,9,9,1025,Alabama,Clarke,polygon,U,31.9111,-87.7419,FALSE,TRUE,America/Chicago,3,1840015849,c:middle,3076,174,21.0,11866,350868,599,81600,mid,mid,mid,Rural
